bn:00041942n	grupo agrupación colectivo
bn:00062759n	plan programa proyecto director_del_programa gestión_de_programas planes
bn:00027473n	emisión
bn:00019780n	clima climas clima_local climas_del_mundo climatico climatologo climatólogo climático tipoclima clima_global climáticas sistema_climático
bn:00021721n	conferencia
bn:00063819n	posturas
bn:00066603n	recriminación
bn:00017153n	enfoque centrándose
bn:00036512n	viernes vie vi. vie. 6.°_dí día_de_venus sexto_día v v. vi penultimo_dia penultimo_día sexto_dia sukravara sukravāra śukravara śukravāra
bn:00067024n	descarga liberación
bn:00028015n	documento papeles cédula documentación pliego escrito documentos circular_informativa documento_escrito
bn:00025780n	disminución reducción debilitamiento merma abatimiento aminoración corte decaimiento mengua minoración step-down
bn:00078738n	año año_gregoriano ma mes_doce
bn:00013941n	carga peso preocupación
bn:00076588n	plazo término fase corto_plazo largo_plazo
bn:00076732n	texto textos materia_textual
bn:00008786n	base fundamento base_hamel base_ordenada vector_de_la_base vectores_de_la_base
bn:00008568n	trato pacto acuerdo arreglín bicoca ganga
bn:00041712n	gas_de_invernadero gas_de_efecto_invernadero gas_de_efecto_de_invernadero gases_de_efecto_invernadero gas_invernadero gases_de_invernadero gases_de_invernáculo gases_invernadero gases_invernaderos gases_de_invernaculo gei emisiones_de_gases_de_efecto_invernadero emisión_de_gas_de_efecto_invernadero gas_efecto_invernadero emisiones_de_carbono emisiones_de_efecto_invernadero emisiones_de_gases_efecto_invernadero emisiones_dióxido_carbono emisión_de_efecto_invernadero retroalimentación_del_vapor_de_agua vida_atmosférica
bn:00058511n	obstáculo barrera dificultad impedimento obstrucción traba escollo estorbo óbice obstáculos
bn:00061005n	camino estilo_de_vida senda trayectoria vida vía forma_de_vida manera
bn:00001549n	mejora mejoría
bn:00026838n	negociación diálogo gestión tramitación negociaciones manejo_de_conflictos_socioambientales negociacion negociador negociar
bn:00077267n	tiempo hora
bn:00045153n	mundo humanidad género_humano raza_humana especie_humana hombre tierra global humanos seres_humanos
bn:00029424n	tierra mundo globo_terrestre globo globo_terráqueo la_tierra planeta_tierra el_planeta nuestro_planeta el_globo el_mundo gaia madre_tierra pachamama planeta_azul sol_3 sol_iii tercer_planeta 🜨 atilio_gambedotti este_planeta ♁
bn:00050371n	líder autoridad dirigente cabeza jefe
bn:00022479n	copenhague copenhagen copenhaguen capital_de_dinamarca kobenhavn københavn capital_danesa cph hafn hafnia havn kobmhaun copenague copenhage
bn:00014711n	semana semana_calendario semana_de_siete_días
bn:00081604n	grupo_de_trabajo equipo_de_trabajo grupos_de_trabajo equipos_de_trabajo estrategia_directiva estrategias_directivas grupo_de_investigacion grupo_de_investigación solución_creativa_de_problemas
bn:00055644n	dinero divisa efectivo creacion_de_dinero creacion_monetaria creación_de_dinero creación_monetaria parne parné monetario
bn:00023236n	estado nación país estado_soberano res_publica pueblo república territorio nacion naciones estado_independiente estados estatal etat fundamentos_filosoficos_de_la_nacion fundamentos_filosoficos_de_la_nación fundamentos_filosóficos_de_la_nación poder_público cuerpo_político estados_soberanos gubernamentales nacional sociedad_política teoría_declarativa_de_la_estadidad
bn:00058969n	
bn:00040681n	calentamiento_global calentamiento_de_la_tierra calentamiento_climatico calentamiento_climático calentamiento_del_planeta calentamiento_mundial cambio_climatico global_warming justicia_climatica justicia_climática oratoria_del_calentamiento_global recalentamiento_del_clima recalentamiento_global seguridad_climática cambio_climático_antropogénico el_calentamiento_global
bn:00003268n	ámbito alcance rango esfera marco extensión
bn:00003132n	alternativa decisión opción elección
bn:00043267n	cuestión tema aspecto asunto encabezado materia titular tópico
bn:00053933n	máximo límite
bn:00076457n	temperatura temperatura_del_aire temperaturas temperatura_de_bulbo temperatura_humeda temperatura_termodinamica temperatura_termodinámica unidades_de_temperatura
bn:00067923n	aumento subida
bn:00008985n	montón passel avalancha barbaridad bestialidad burrada cantidad cúmulo enormidad fajo lote mogollón montaña multitud pila dineral fortuna bastante_un_poco buena_suma gran_cantidad mickle mucho muckle
bn:00035190n	flexibilidad adaptabilidad
bn:00064536n	procedimiento proceso
bn:00015501n	capital capitolio washington
bn:00047203n	portavoz intérprete representante voz vocera vocero oficial_de_prensa portavoces
bn:00036837n	funcionario alto_cargo funcionaria funcionario_público oficial funcionaria_pública alta_dirección alto_funcionario personal_de_alta_direccion personal_de_alta_dirección alta_direccion funcionario_de_alto_rango altos_cargos ejercer_electos funcionario_del_gobierno funcionarios funcionarios_electos oficiar
bn:00062275n	cuadro escena imagen
bn:00059783n	esquema esquema_jerárquico ardid artimaña estratagema intriga maquinación treta urdimbre esquema_jerarquico
bn:00061135n	porcentaje por_ciento porciento tanto_por_ciento pct por_cien porcentage % punto_porcentual tanto_porcentual porcentajes
bn:00025966n	etapa grado punto fase nivel tramo
bn:00026694n	país_en_vías_de_desarrollo país_en_desarrollo países_en_desarrollo pais_en_vias_de_desarrollo paises_en_desarrollo paises_en_vias_de_desarrollo país_de_desarrollo_intermedio países_de_desarrollo_intermedio países_en_vías_de_desarrollo pais_de_desarrollo_intermedio pais_en_desarrollo paises_de_desarrollo_intermedio desarrollo_intermedio pais_en_vías_de_desarrollo economías_en_desarrollo los_países_en_desarrollo mundo_en_desarrollo países_de_bajos_ingresos países_menos_desarrollados países_subdesarrollados
bn:00061605n	período etapa periodo período_de_tiempo
bn:00021127n	unión_europea comunidad_económica_europea ue cee mercado_común c.e.e. comunidad_economica_europea union_europea comunidad_europea europa unión 🇪🇺 e_u european_union la_union_europea la_unión_europea u.e u.e. u_e u_e. ce e.u mercado_común_europeo
bn:00075965n	conversación charla charloteo garla talk que_habla
bn:00012159n	impulso empuje empujón
bn:00046065n	impacto consecuencia efecto
bn:00019782n	cambio_climático cambio_climático_global cambios_climáticos ccg cambio_climatico_global crisis_climática cambio_climatico crisis_climatica el_cambio_climático_global variabilidad_del_clima
bn:00002954n	inundación aluvión avenida avalancha diluvio riada inundacion inundaciones inundabilidad agua_de_la_inundación inundó
bn:00028863n	sequía sequías sequedad sequia sequias sequía_artificial
bn:00025949n	deforestación limpieza_de_tierras desmontadura problemas_ambientales_la_explotación_forestal problemas_ambientales_la_explotacion_forestal deforestacion desforestacion desforestación tala_de_árboles deforestada disforestation
bn:00025948n	deforestación desforestación desmontadura despoblación_forestal
bn:00035907n	tipo clase forma género especie
bn:00078848n	gobierno_federal_de_los_estados_unidos estados_unidos e.e.u.u. eeuu gobierno_de_eeuu gobierno_de_los_estados_unidos gobierno_de_estados_unidos del_gobierno_de_ee.uu. ee.uu gobierno_de_ee.uu gobierno_de_ee.uu. gobierno_de_los_ee.uu gobierno_estadounidense gobierno_federal_de_estados_unidos gobierno_federal_de_los_ee.uu
bn:00031083n	ministro_plenipotenciario enviado_extraordinario enviado enviado_extraordinario_y_ministro_plenipotenciario enviado_especial ministro ministro_consejero rango_diplomático
bn:00049915n	terminología nomenclatura terminólogo lenguaje registro_terminológico terminologia repositorio_de_terminología terminologa terminologico terminologo terminológico terminóloga nombre_científico nomenclatura_científica término
bn:00024615n	recorte
bn:00056029n	movimiento actividad_locomotora locomoción_animal motilidad
bn:00042938n	línea_dura
bn:00016756n	china china_continental república_popular_china república_popular_de_china catay china_roja china_comunista rpc catai china_popular mainland_china r._p._china r.p._china r_p._china r_p_china republica_pop._china republica_popular_de_china república_pop._china rp_china sinensis táiwan 中国 cathay comunista_de_china
bn:00014103n	administración_bush presidencia_de_george_w._bush administracion_bush george_w_bush
bn:00001135n	
bn:00020980n	comentador comentarista observador comentadora
bn:00020977n	comentario observación consideración juicio aclaración explicación nota
bn:00044982n	hora hora_del_día tiempo_de_día
bn:00035831n	ministro_de_asuntos_exteriores ministro_de_relaciones_exteriores ministro_del_exterior secretario_de_estado ministro_extranjero ministerio_de_relaciones_exteriores canciller ministerio_del_exterior ministra_de_relaciones_exteriores ministro_de_exteriores rree.gov.bo ministros_de_relaciones_exteriores
bn:00003341n	estados_unidos estados_unidos_de_américa américa eeuu e.e.u.u. united_states united_states_of_america américas estados ee.uu. usa ee._uu. estados_unidos_de_america eua los_estados_unidos_de_américa revolucion_estadounidense u.s.a. america estados_unidos_de_norteamérica los_estados_unidos afro-estadounidense broken/ee._uu. broken_ee._uu. broken_ee_uu e._e._u._u. e._u._a. e.u. e.u.a. e_u_a ee-uu ee_uu estadinense estadinenses estado-unidense estado-unidenses estados_unidos_de_america_del_norte estados_unidos_de_américa_del_norte estados_unidos_de_norte_america estados_unidos_de_norteamerica estadounidenses estadunidense estadunidenses los_estados_unidos_de_america población_afroestadounidense populación_afroestadounidense república_de_estados_unidos the_united_states u.s. u_s u_s. u_s.a. u_s_a u_s_a. union_americana unión_americana unión_estadounidense us usamericano usamericanos usana usanas usano useno usense usenses useña useñas useño useños los_estados
bn:00057209n	negociador comisionado intermediario negociadora negociante tratador
bn:00021164n	sentido_común sensatez sentido sentido_comun venga_ya,_tio,_dejate_de_una_vez_de_tonterias venga_ya,_tio,_dejate_de_una_vez_de_tonterías venga_ya,_tio,_déjate_de_una_vez_de_tonterias venga_ya,_tio,_déjate_de_una_vez_de_tonterías venga_ya,_tío,_dejate_de_una_vez_de_tonterías venga_ya,_tío,_déjate_de_una_vez_de_tonterías venga_ya_tio,_dejate_de_una_vez_de_tonterias venga_ya_tio,_dejate_de_una_vez_de_tonterías venga_ya_tio,_déjate_de_una_vez_de_tonterias venga_ya_tio,_déjate_de_una_vez_de_tonterías venga_ya_tio_dejate_de_una_vez_de_tonterias venga_ya_tio_dejate_de_una_vez_de_tonterías venga_ya_tio_déjate_de_una_vez_de_tonterias venga_ya_tio_déjate_de_una_vez_de_tonterías venga_ya_tío,_dejate_de_una_vez_de_tonterías venga_ya_tío,_déjate_de_una_vez_de_tonterías venga_ya_tío_dejate_de_una_vez_de_tonterías venga_ya_tío_déjate_de_una_vez_de_tonterías caballo_sentido juicio madre_ingenio sensus_communis
bn:00035211n	trayectoria trayectorias
bn:00041585n	superpotencia potencia_mundial potencia superpotencia_internacional hiperpotencia superpoder influencia grandes_potencias gran_potencia potencia_del_mundo poder poder_en_las_relaciones_internacionales potencia_industrial potencia_internacional potencias_mundiales primera_potencia primera_potencia_mundial superpotencia_emergente superpotencias_emergentes gran_poder poder_mundial
bn:00033819n	falla fallo_en_la_línea
bn:00009080n	conflicto batalla lucha pugna
bn:00029678n	economía sistema_económico sistema_economico sistemas_económicos sistemas_economicos actividades_economicas economia actividad_economica actividad_económica actividades_económicas cooperación_económica la_actividad_economica la_actividad_económica sistema_economico_mundial sistema_económico_mundial economía_nacional economía_real economía_rural economías económico
bn:00052888n	planeta planetas cuerpo_planetario planemo planeta_mayor
bn:00029239n	deber obligación responsabilidad deuda compromiso cometido menester obligaciones
bn:00000085n	24 veinticuatro xxiv 4! venticuatro dos_docenas_de
bn:00046093n	imperativo
bn:00026025n	delegado delegada delegados delegar
bn:00022995n	costo coste costes costo_de_manufactura costos costoso caros gastos_contingentes
bn:00001127n	acción acto hecho operación realización
bn:00037187n	complot conjuración conspiración plan_secreto
bn:00043539n	hegemonía hegemon hegemonia hegemonica hegemonico hegemón hegemónica hegemónico
bn:00054693n	méxico mexico estados_unidos_mexicanos méjico república_mexicana montañas_más_altas_de_méxico el_país_azteca nueva_españa estados_unidos_mejicanos mejico mx republica_mexicana república_mejicana mex mxn 🇲🇽 estados_unidos_de_mejico estados_unidos_de_mexico estados_unidos_de_méjico estados_unidos_de_méxico eum gobierno_federal_de_los_estados_unidos_mexicanos mejicana mejicano mexicana mexicano mèxico nacion_mexicana republica_de_mexico republica_de_méxico republica_federal_de_méxico república_de_mexico república_de_méxico república_federal_de_mexico república_federal_de_méxico sector_productivo_de_méxico
bn:00017172n	
bn:00001598n	asesor consultor consejero consultora asesora consejera especialista orientador consultores tutor
bn:00000728n	tratado_internacional tratado acuerdo pacto denuncia acuerdo_internacional concertación convenio pakt protocolo tratados_internacionales pacte tratados
bn:00060798n	participante
bn:00054277n	miembro
bn:00028548n	borrador bosquejo boceto esbozo primer_borrador proyecto_de_copia
bn:00064776n	propuesta proposición oferta propuesta_de_negocios oferentes
bn:00035851n	mañana am madrugada manana mananero matinal matutinas matutino matutinos mañanero alborada la_mañana mañana_hora
bn:00009652n	representación
bn:00065344n	empujón empuje
bn:00064262n	presión
bn:00010203n	india república_de_la_india unión_india la_india republica_de_la_india bharat barat bharata bharata_ganarajya bharata_ganarājya bharata_gaṇarajya bharata_gaṇarājya bharata_varsa bharata_varsha bharata_varsham bharata_varṣa bharatavarsha bharatavarsham bharatvarsha bharatá_varsham bhárata_varsha bhārata_ganarājya bhārata_gaṇarājya bhārata_varsa bhārata_varṣa bhāratavarsha indostani religiones_en_la_india republic_of_india república_de_india
bn:00079330n	urgencia emergencia apremio perentoriedad premura
bn:00032654n	hecho evidencia prueba
bn:00047688n	asunto
bn:00041200n	ministro ministra consejera consejero ministros miembro_del_gobierno el_ministro_de_gobierno ministro_de_gobierno ministro_del_gobierno ministro_político
bn:00001697n	avión aeroplano aeronave aviones avion aeronave_de_ala_fija aeronave_de_alas_fijas avion_de_alas_fijas avión_de_alas_fijas viajes_aereos viajes_aéreos ✈ ✈️
bn:00042663n	pasillo vestíbulo recibidor sala corredor hall vestibulo sala_reuniones
bn:00041948n	reunión concurrencia concurrentes reunión_grupal encuentro reunión_organizada reuniones reunión_del_grupo
bn:00057552n	rueda_de_prensa conferencia_de_prensa ruedas_de_prensa conferencias_de_prensa conferencia_prensa
bn:00019405n	reclamación pretensión
bn:00006479n	colectividad
bn:00061450n	pueblo personas gente discurso_de_las_masas pueblo_trabajador pueblos
bn:00000086n	día día_solar días dias día_solar_medio 24-horas_intervalo día_de_sol veinticuatro_horas veinticuatro_horas_período
bn:00001171n	activista militante
bn:00071315n	espectáculo exhibición muestra
bn:00060464n	papel hoja hoja_de_papel papel_de_escritura
bn:00029345n	correo_electrónico correo-e e-mail email correo emilio correo_electronico mensaje_electronico mensaje_electrónico correos_electrónicos e-mails carta_electrónica correl correo-e. correo_e correo_web correos_electronicos direccion_de_correo_electronico direccion_de_correo_electrónico direccion_electronica dirección_de_correo_electrónico dirección_electrónica e_mail e_mailing e_mails mail mensaje_de_correo_electronico mensaje_de_correo_electrónico web_mail correo_de_internet
bn:00017557n	desafío reto
bn:00047043n	intensidad
bn:00054897n	miércoles miercoles 4.°_dí cuarto_día día_de_mercurio mi mi. mie mie. mié. x cuarto_dia casarse
bn:00010317n	división_de_honor primera_división grandes_ligas mayores
bn:00079435n	vicepresidente vice_presidente vicepresidencia vicepresidenta vicepresidente_de_la_republica vicepresidente_de_la_república vicepresidente_del_gobierno vicepresidentes viceprimera_ministra v.p. vice-presidente vicepresidente_ejecutivo vicepresidente_senior
bn:00063330n	política política_organizacional politica_organizacional formulación_de_políticas políticas responsables_políticos
bn:00009664n	coloso figura hombre_de_peso monstruo mujer_de_peso titán
bn:00078365n	victoria triunfo éxito
bn:00047679n	israel estado_de_israel estado_judío tierra_santa estado_judio patria_judía ישראל yisrael
bn:00080111n	visita
bn:00073699n	equipo cuadrilla escuadrón equipos
bn:00052052n	pérdida derrota fracaso quebranto
bn:00016286n	actuación cumplimiento desempeño ejecución realización llevar_a_la_acción rendimiento
bn:00063218n	punto point puntaje puntuación tantos puntos
bn:00000942n	apogeo auge cúspide cima pico superlativo súmmum tiptop
bn:00000427n	ausencia falta
bn:00030844n	participación compromiso implicación colaboración constribución participación_política participativa
bn:00076309n	trabajo_en_equipo tarea_en_conjunto trabajo_en_grupo trabajo_en_equipo_en_el_aula trabajo_en_grupo_en_el_aula
bn:00030720n	final fin etapa_final
bn:00075025n	éxito
bn:00059751n	fuera_de_los_límites
bn:00037181n	juego
bn:00033833n	favor
bn:00069757n	marcador tanteador
bn:00073989n	inicio comienzo empiece
bn:00008875n	drop canasta gol_de_drop drop_goal goles_de_drop
bn:00012213n	borde límite perímetro frontera margen
bn:00021870n	conjetura especulación suposición surmisal creencia hipótesis teoría suponer
bn:00057368n	arco portería
bn:00006143n	muñeca carpo articulación_radiocarpiana articulatio_radiocarpea huesos_del_carpo carpal huesos_carpianos ossa_carpalia ossa_carpi muneca carpus articulación_de_la_muñeca garra muñecas
bn:00069759n	anotador goleador marcador
bn:00034792n	primer_período
bn:00065577n	
bn:00081568n	trabajo
bn:00081042n	silbido chiflido silbo
bn:00005053n	aplauso palmas palmada aplaudir palmadas plauso aplausos mano_aplaudiendo
bn:00044531n	regreso vuelta regreso_a_casa
bn:00044488n	casa hogar país
bn:00050340n	delantera liderazgo ventaja
bn:00025236n	noche tarde oscuridad noches
bn:00042647n	medio_tiempo intermedio descanso
bn:00042759n	mano manus palma pata zarpa mano_derecha mano_izquierda manos
bn:00036823n	función cargo ministerio papel oficio parte rol oficina
bn:00066863n	devolución recuperación restauración restitución recuperar
bn:00051117n	
bn:00027415n	desventaja
bn:00060799n	jugador participante jugadora partícipe jugadores
bn:00023270n	par
bn:00062929n	jugada
bn:00002155n	asistencia ayuda auxilio socorro
bn:00030719n	final conclusión fin finalización término
bn:00061606n	período
bn:00055094n	minuto min minutos
bn:00051301n	línea
bn:00053001n	malicia despecho insidia
bn:00030341n	última_hora último_minuto
bn:00019848n	vez ocasión
bn:00070056n	temporada estación período temporada_de_un_club_deportivo temporada_deportiva temporada_regular edición_deportiva_recurrente temporada_de_club_deportivo temporada_de_competición_deportiva temporada_de_equipo_deportivo temporada_de_un_equipo_deportivo cerca_de_la_temporada pretemporada temporada_baja temporada_cerca temporada_en_casa_ya_domicilio
bn:00076788n	wall_street la_calle
bn:00046200n	impulso momentum impulso_mecánico impulsos
bn:00028114n	dólar dólar_surinamés dólares dolar dolares dollar dolár
bn:00010302n	bolsa_de_nueva_york nyse bolsa_de_ny new_york_stock_exchange bolsa_de_valores_de_nueva_york bolsa_de_wall_street n._y._bolsa
bn:00002181n	rumbo sentido arrumbamiento
bn:00053460n	mercado_financiero mercado mercado_bursátil mercado_de_valores mercados_financieros mercado_internacional_de_capitales mercado_de_capital mercado_del_dinero industria_de_valores
bn:00046418n	indicador índice indicador_numérico indicant índice_numérico índice_económico indice_economico número_de_índice
bn:00028458n	dow_jones promedio_industrial_dow_jones djia dow_jones_industrial dow_jones_industrial_average dow-jones_industrial_average
bn:00056893n	nasdaq nasdaq_stock_market national_association_of_securities_dealers_automated_quotations national_association_of_securities_dealers_automated_quotation
bn:00019966n	conclusión culminación finalización compleción completación cierre limpiar windup
bn:00034394n	número
bn:00005105n	ciencia_aplicada ciencias_aplicadas ingeniería ingeniería_física tecnología ingenieria_fisica ingenieria_física fisica_tecnica física_técnica investigacion_aplicada investigación_aplicada ing._fisica ing_fisica ingeniera ingenieria ingeniero_electronico ingenieros ciencias_de_la_ingeniería tecnología_aplicada tecnología_moderna tecnologías
bn:00064119n	predominancia predominio prepotencia
bn:00056870n	estrecho_margen
bn:00077880n	comercio compraventa
bn:00013768n	volumen masa mole
bn:00016404n	caso
bn:00076496n	tendencia
bn:00065107n	publicación
bn:00059168n	opinión apreciación convencimiento idea parecer punto_de_vista visión creencia persuasión opiniones opinion opinión_científica
bn:00066995n	relación vínculo
bn:00042963n	robustez resistencia fortaleza mutaciones_robustez
bn:00066597n	recuperación
bn:00003802n	analista
bn:00068916n	
bn:00058192n	noviembre nov navarra nov. 11 11.°_me decimoprimer_mes mes_11 mes_11. mes_decimoprimero mes_undécimo penúltimo_mes undécimo_mes
bn:00014710n	mes mes_de_calendario mes_civil meses
bn:00068427n	sin_interrupción
bn:00021743n	confianza
bn:00022095n	consumidor consumidores consumidora proceso_de_toma_de_decisiones_del_comprador
bn:00025645n	diciembre dic. 12 12.°_me decimosegundo_mes di di. duodécimo_mes mes_12. mes_decimosegundo mes_duodécimo último_mes decembrino deciembre
bn:00005164n	estimación aproximación idea presupuesto valoración estimacion estimado
bn:00044024n	
bn:00031888n	euro eurocopa euros € eur inflacion_encubierta_del_euro inflacion_oculta_del_euro inflación_encubierta_del_euro inflación_oculta_del_euro redondeuro
bn:00070206n	sectores_económicos sector sector_económico
bn:00071869n	situación estado
bn:00017368n	valor valores título_valor certificado título security título_financiero valor_financiero valor_mobiliario titulo_o_valor titulos_valores título_o_valor títulos_valores seguridad títulos_de_deuda valores_financieros
bn:00008870n	base cimentación cimiento fundamento
bn:00026339n	departamento_del_tesoro_de_los_estados_unidos hacienda ministerio_de_hacienda departamento_del_tesoro departamento_del_tesoro_de_estados_unidos united_states_department_of_the_treasury ministerio_de_finanzas tesoro_de_estados_unidos tesoro_de_los_estados_unidos
bn:00011974n	bono obligación bonos bono_de_deuda bonos_garantizados_por_el_estado obligación_financiera bono_certificado
bn:00047691n	rendimiento ingresos rédito productividad recaudación
bn:00078546n	martes mar 3.°_dí día_de_marte m ma ma. tercer_día tercer_dia
bn:00031998n	noche tarde anochecer víspera atardecer even final_de_la_tarde vigilia mediatarde eventide incluso
bn:00058745n	compañía_petrolera compañía_petrolífera petrolera industria_de_petróleo_y_gas la_petrolera
bn:00021556n	preocupación interés inquietud
bn:00080036n	violencia
bn:00046933n	inestabilidad
bn:00007299n	régimen gobierno autoridad régimen_político regimen regimen_politico regimenes regímenes autoridades
bn:00008794n	infraestructura infraestructura_urbana infraestructuras
bn:00007085n	subasta remate puja casas_de_subastas subastas rematador subasta_a_sobre_cerrado subastación subastador subastar casa_de_subastas subasta_silenciosa subastadores vendue
bn:00068696n	sábado sáb 7.°_día_de_la_seman 7mo_día día_de_descanso día_de_descanso_hebreo día_de_descanso_judío día_de_reposo día_de_saturno día_del_sábado día_sabático día_sábado s sa sab sabat shabat séptimo_día último_día_de_la_semana sabado sabados sabatina sabatino septimo_día sonnabend sábados ultimo_dia ultimo_día sabbatum
bn:00068622n	rusia federación_rusa russia federación_de_rusia federacion_rusa rus federacion_de_rusia rusia_mayor russland venaja venajä venäjä россия
bn:00024112n	petróleo crudo keroseno petróleo_bruto petróleo_mineral petróleo_crudo oro_negro petrolífero el_refinado_de_petroleo encuentro_social_alternativo_al_petroleo encuentro_social_alternativo_al_petróleo petroleo petroleo_crudo petrolera petrolifero vehículo_de_combustión combustibles_fósiles convencionales_de_petróleo distribución_gas roca_aceite
bn:00014160n	empresa compañía firma casa empresas empresa_negocio
bn:00002362n	irak iraq república_de_irak republica_de_irak república_de_iraq irakí iraqui iraquies iraquí iraquíes irák komara_iraqe republica_de_iraq republica_del_iraq república_del_iraq al-iraq
bn:00058741n	industria_petrolera industria_del_petroleo industria_del_petróleo industria_petrolifera industria_petrolífera mercado_de_la_gasolina mercado_de_la_gasolina_de_espana mercado_de_la_gasolina_de_españa mercado_de_la_gasolina_en_españa producción_petrolera aceite_negocios industria_de_petróleo_y_gas industria_petróleo la_industria_petrolera refinación_industria
bn:00025646n	década decenio decada 10_años diez_años decenario decennium
bn:00080439n	guerra conflagración conflicto lucha_armada guerras conflicto_belico conflicto_bélico conflicto_armado conflicto_militar conflictos_armados belica belico bélica bélico conflagracion guerrera polemologia
bn:00069122n	sanción
bn:00021286n	empresa compañía sociedad actividad_empresarial azienda firma empresas compañía_comercial negocio negocios sociedad_empresarial compania_privada companía_privada compañia_privada empresa_comercial
bn:00047081n	interés participación
bn:00034265n	campo labrantío sembradío terreno campo_agrícola campo_rural campos_agrícolas campo_agricola campos_agricolas
bn:00010262n	oferta licitación propuesta licitador postor
bn:00014152n	acuerdo comercio negocio operación_comercial transacción trato trato_comercial
bn:00048592n	junio jun jun.
bn:00067192n	representación
bn:00040387n	gigante
bn:00028249n	
bn:00029774n	jefe_de_redacción redactor_jefe editor jefa_de_redacción redactora editor_en_jefe redactor-jefe redactora_en_jefe redactora_jefa editor-jefe jefa_de_la_redacción jefe_de_la_redacción redactor_en_jefe edición editado editor_adjunto editor_asociado editor_de_la_revista editor_de_libros editor_ejecutivo editores_en_jefe
bn:00057546n	noticias noticia actualidades hecho_periodistico hecho_periodístico suceso_de_actualidad informe_noticias
bn:00054409n	centro centro_comercial establecimiento_mercantil punto_de_venta tienda_al_por_menor
bn:00001939n	años edad mucho_tiempo largo_tiempo año año_gregoriano ma tiempo_largo
bn:00058679n	oferta ofrecimento ofrecimiento
bn:00070225n	medidas_de_seguridad
bn:00070219n	seguridad seguras
bn:00011946n	
bn:00005732n	fuerzas_armadas ejército las_fuerzas_armadas fas fuerza fuerza_armada ejercito ejercitos ejércitos fuerzas_militares milicia aparato_militar capitalismo_y_socialismo castrense estado_militar ff._aa. ffaa maquinaria_militar militar militares máquina_de_guerra rama_militar resistencia_armada servicios_armados
bn:00007805n	reserva reservas acopio
bn:00003801n	analista
bn:00016401n	caso ejemplo instancia vez
bn:00017562n	desafiador competidor contendiente rival adversaria adversario aspirante competición competidora contrincante desafiadora retador retadora retante
bn:00030825n	
bn:00030747n	peligro riesgo riesgos arriesgado peligrar peligrosa peligrosamente peligroso peligros peligrosos riesgo_de_seguridad
bn:00070914n	accionista accionario inversionista socio_capitalista accionistas shareowner
bn:00055180n	ministerio consejería cartera departamento_ministerial ministerial ministerios secretaría_de_estado ministerio_de_salud secretaria_de_estado departamento_ejecutivo estado_mayor_del_ejercito_del_aire mindef minedu mineduc ministerio_de_defensa ministerio_de_educacion ministerio_de_educación ministerio_de_finanzas ministerio_de_la_defensa_nacional ministerio_de_salud_publica ministerio_de_salud_pública ministerio_de_sanidad ministerios_de_salud ministerios_de_salud_publica ministerios_de_salud_pública ministerios_de_sanidad ministra ministra_de_defensa ministro ministro_de_defensa ministro_de_guerra_y_marina ministro_de_salud ministros secretarías_de_estado ministerio_del_gobierno
bn:00028625n	empate
bn:00001592n	consejo asesoramiento advertencia advice aviso recomendación exhortación
bn:00022227n	contrato contratos legalmente_vinculante considerandos contracto eficacia_contractual teoria_del_contrato teoría_del_contrato acuerdo_contractual contractual contratación derecho_contractual garantías
bn:00080816n	fin_de_semana finde fines_semana semana_de_trabajo
