bn:00041942n	grupo agrupaci√≥n colectivo
bn:00023288n	curso camino dirección trayectoria derrotero rumbo curso_de_navegacion curso_de_navegación ruta_de_navegacion ruta_de_navegación
bn:00073526n	portavoz vocero
bn:00031285n	igualdad equivalencia par paridad
bn:00021034n	reclusión
bn:00008694n	barril barril_de_petróleo bbl barril_de_petroleo barril_británico_o_imperial barril_estadounidense
bn:00033939n	honorario cuota tarifa tasa estipendio honorarios
bn:00059788n	producción rendimiento producción_económica
bn:00025965n	grado nivel grado_de_la_escala grado_evolutivo grados_de_la_escala
bn:00008364n	banco banca bancos entidad_bancaria entidad_de_crédito casa_bancaria entidad_de_depósito sucursal_bancaria banca_al_detalle banca_telefonica banca_telefónica bancaria banquero casas_bancarias entidades_bancarias entidades_de_crédito intermediación_financiera templos_banco banca_de_empresas banca_internacional banca_preocupación banco_extranjero bancos_extranjeros banqueros industria_bancaria institución_financiera_depositaria sistema_bancario
bn:00074010n	estado
bn:00007799n	apoyo_financiero respaldo_financiero
bn:00011975n	cadenas cuerdas grillete trabas
bn:00064839n	seguridad protección recaudo seguro seguridad_económica seguridad_financiera
bn:00036839n	fondo fondo_monetario capital
bn:00003601n	cantidad suma monto importe cantidad_de_dinero suma_de_dinero
bn:00000739n	artículo crónica historia informe relación relato reportaje escribir news_report
bn:00013240n	locutor
bn:00031641n	institución instituto institucion institucional instituciones institucion_politica institucion_política instituciones_politicas instituciones_políticas institución_politica institución_política
bn:00051251n	cortapisa limitación restricción
bn:00000649n	aceptación adopción
bn:00051250n	
bn:00027366n	director directora gerente administrador gestor manager miembro_de_la_junta miembro_del_consejo_directivo miembro_del_directorio director_general
bn:00012042n	incentivo plus
bn:00017791n	importe
bn:00047367n	inversor inversionista inversora inversores
bn:00051693n	préstamo empréstito crédito empréstito_de_obligaciones emprestito emprestito_de_obligaciones préstamo_financiero prestamistas préstamos
bn:00008047n	residuo resto remanente restante sobra
bn:00047831n	bote pote
bn:00068915n	venta
bn:00014136n	negocio asunto asunto_de_negocios empresa organización_comerical organización_de_negocios negocios_preocupación organización_empresarial
bn:00079107n	unidad elemento módulo
bn:00023844n	crisis situación_de_crisis crisis_puntual
bn:00047358n	inversión inversión_financiera inversion invertir inversiones inversión_económica inversion_financiera inversionista inversiones_de_capital inversionistas_extranjeros inversión_de_capital inversión_inmobiliaria
bn:00016448n	efectivo dinero_en_efectivo dinero_efectivo dinero_en_metálico metálico moneda en_efectivo dinero_metalico dinero_metálico dinero_contante dinero_contante_y_sonante dinero_en_metalico dinero_físico usuario:eduardo3877/taller usuario:eduardowikipedista/taller
bn:00050920n	
bn:00076744n	jueves 5.°_dí día_de_júpiter j ju ju. jue jue. quinto_día
bn:00015496n	capital capital_de_trabajo fondo_de_maniobra fondo_de_rotación patrimonio_empresarial capital_circulante capital_corriente capital_de_rotación capital_de_rotacion capital_empresarial flujo_de_capital fondo_de_rotacion rentas_del_capital capital_extranjero capital_financiero flujos_de_capital
bn:00046356n	aumento incremento
bn:00000939n	cita mención referencia remisión referencia_bibliográfica cita_bibliográfica criterios_de_referencias_bibliográficas referencia_bibliografica referencia_escrita referencias_bibliográficas citar citas fuente_necesario
bn:00008279n	grupo banda conjunto círculo
bn:00005019n	apelación recurso_de_apelación apelaciones apelado recurso_de_apelacion apelable apelacion apelante apelar juicio_de_apelación apeló autorización_para_apelar examen_en_apelación junta
bn:00000125n	6 seis sexteto hexad sise sixer sestet sexteto_de_música 3! número_6 vi numero_6 el_capitán_hicks medio_de_una_docena sextillo
bn:00023302n	sala_de_justicia sala sala_de_audiencias corte juzgado sala_de_un_tribunal tribunal sala_de_vistas sala_del_tribunal
bn:00068424n	fila hilera línea
bn:00076677n	testimonio atestación atestiguamiento testificación relato_personal relatos_personales testimonios testificado testificar
bn:00025872n	equipo_de_defensa defensa abogados_de_la_defensa
bn:00054523n	mensaje recado mensajes mensaje_textual mensajería mensajeria comunicado
bn:00078198n	juicio proceso judicial juicio_oral juicios pleito pleito_legal proceso_legal caso_criminal
bn:00006469n	violación estupro violaciones violada violacion violación_sexual violar violacion_sexual violación_forzada violador_en_serie violadores
bn:00018345n	menor_de_edad niño menor joven niña nene pececillo minoría_de_edad alevín chango chaval chico chiquillo chiqüelo criatura cría crío jovenzuelo mozalbete muchachuelo tike infancia papa_frita menores_de_edad edad_legal minoridad_legal minoria_de_edad menores chamaca chamaco chavo conservacion_de_los_derechos_de_los_ninos conservacion_de_los_derechos_de_los_niños conservación_de_los_derechos_de_los_ninos conservación_de_los_derechos_de_los_niños minoridad ninas ninez ninos niñez niños piba piberio piberío primera_edad
bn:00009472n	cama catre piltra lecho sobre catrera
bn:00044994n	casa arquitectura_doméstica casas
bn:00034004n	miembro integrante compañero
bn:00032892n	familia núcleo_familiar menaje casa hogar nucleo_familiar casas
bn:00048488n	juez jueza magistrado togado árbitro judicatura juezas iudex jueces justicia
bn:00046148n	imposición inflicción
bn:00048658n	jurado juicio_con_jurado jury juicio_con_jurados juicio_por_jurado jurado_escabinado jurado_judicial jurado_popular jurados
bn:00007051n	abogado abogada letrado letrada notario defensor jurista picapleitos abogados abogadas licenciada licenciado licenciado_en_derecho abogacía abogado_criminal abogado_defensor asesor_legal
bn:00023301n	tribunal corte juzgado sala_de_justicia tribunales
bn:00034444n	
bn:00005600n	argumento
bn:00023362n	reportaje presentación_de_informes
bn:00057562n	reportero newsperson periodista reportera repórter comunicador_social comunicadora_social vendedor_de_periódicos
bn:00030627n	uso utilización empleo
bn:00016140n	
bn:00003263n	ambiente atmósfera atmosfera
bn:00026622n	detalle punto particular particularidad pormenor
bn:00060907n	pasión apasionamiento pasion
bn:00019404n	reclamación afirmación proposicional proposición proposición_lógica
bn:00064192n	regla norma prescripción precepto
bn:00025170n	peligro
bn:00046310n	inclusión
bn:00046516n	persona individuo mortal alguien humano ser alguno alma ser_humano individuos persona_individuo personaje_real sujeto concepto_de_persona individual individualidad indivisible personas
bn:00067807n	derecho derechos derecho_subjetivo derechos_y_libertades
bn:00025890n	abogado_defensor defensa abogado_criminal abogado_de_defensa abogado_de_defensa_criminal el_abogado_defensor
bn:00078207n	juez_procesal juez_de_primera_instancia
bn:00064914n	provincia estado provincias estado_federal país provincianismo provinciano
bn:00075262n	corte_superior tribunal_superior
bn:00059171n	fallo decisión dictamen sentencia
bn:00048459n	medios_de_comunicación medios_periodísticos periodismo medio_informativo medio prensa los_medios_de_comunicación
bn:00032047n	evidencia prueba cuerpo_del_delito prueba_civiles
bn:00050106n	
bn:00050107n	última_palabra
bn:00005022n	tribunal_de_apelación corte_de_apelacion tribunal_de_apelacion corte_de_apelaciones tribunal_de_apelaciones corte_de_apelación tribunales_de_apelación corte_de_segunda_instancia juzgado_de_segunda_instancia tribunales_de_apelacion tribunales_de_apelaciones
bn:00016403n	causa demanda pleito acción caso juicio litigio proceso proceso_judicial querella demanda_judicial caso_judicial argumento caso_legal demandado parte_demandada caso_civil causal causalidad demanda_civil demandó disputa_legal litigantes previas_al_juicio sistema_causa tribunal_civil
bn:00015226n	candor franqueza sinceridad imparcialidad
bn:00075359n	corte_suprema_de_los_estados_unidos corte_suprema corte_suprema_de_estados_unidos corte_suprema_de_justicia_de_estados_unidos corte_suprema_de_justicia_de_los_eeuu corte_suprema_de_los_estados_unidos_de_america corte_suprema_de_los_estados_unidos_de_américa procedimientos_de_la_corte_suprema_de_los_estados_unidos procedimientos_del_tribunal_supremo_de_los_estados_unidos suprema_corte_de_estados_unidos suprema_corte_de_justicia_de_los_estados_unidos suprema_corte_de_los_estados_unidos tribunal_supremo_de_estados_unidos tribunal_supremo_de_los_estados_unidos u.s._supreme_court corte_suprema_de_ee.uu. corte_suprema_de_los_estados_unidos_américa ee.uu_corte_suprema_de_justicia escoto estados_unidos_la_corte_suprema_de_justicia tribunal_supremo_de_los_estados_unidos_américa u.s_corte_suprema
bn:00021628n	sentencia condena sentencia_condenatoria juicio pena punición veredicto_condenatorio sentencia_judicial sentencias condena_penal condenas frase
bn:00019742n	cleveland cleveland_ohio cleveland,_oh cleveland,_ohio
bn:00059674n	osteópata osteopathist
bn:00032175n	asesinato homicidio homicidio_calificado asesinar asesinato_en_segundo_grado asesinatos asesino asesinos asesina asesinado asesinó asesinato_en_primer_grado asesinato_tortura
bn:00053531n	esposa cónyuge mujer mujer_casada esposo marido señora esposas
bn:00021584n	conclusión decisión determinación resolución dictamen
bn:00023807n	crimen delito delitos infracción criminal criminalidad actividad_criminal actividades_delictivas actividades_ilegales acto_criminal comportamiento_criminal delincuentes delito_criminal violación_de_la_ley
bn:00046926n	inspiración fuente_de_inspiración
bn:00076429n	programa_de_televisión programa_de_la_televisión temporada programación_televisiva programa programa_de_television programa_de_tv programa_televisivo programas_de_televisión programa_tv programacion_de_television programacion_televisiva programación_de_televisión genero_televisivo género_televisivo programa_de_radio programas_de_radio programas_de_television show de_programas_de_televisión demostración_de_la_tv producción_de_televisión programas_televisión serie_de_televisión series_de_televisión
bn:00034471n	película film filme cine producción pelicula películas obra_cinematografica peliculas filmes films largometraje largometrajes obra_cinematográfica realizacion_de_cine realización_de_cine filmaciones filmación obras_cinematograficas obras_cinematográficas peli pelicula_cinematografica pelicula_cinematográfica pelicular peliculero peliculon peliculón película_cinematografica película_cinematográfica imagen_en_movimiento gran_película imágenes_en_movimiento motion-picture_show movimiento_se_muestra_la_imagen muestra_la_imagen pantalla_grande película_teatral
bn:00042601n	mitad un_medio metad 0,5 0.5 1/2 medio la_mitad
bn:00017234n	siglo centuria siglos centenario
bn:00033729n	modo manera estilo vía forma guisa moda
bn:00016851n	causa fundamento motivo razón causal
bn:00016013n	preocupación cuidado inquietud miedo temor
bn:00064601n	profesor profesora catedrático catedrático_de_universidad catedratico_de_universidad catedrática_de_universidad profe profesor_universitario profesores catedrática catedratica_de_universidad catedratico_universitario catedrática_universitaria catedrático_de_escuela_universitaria catedrático_universitario cátedra_universitaria docente docente_de_universidad docente_universitaria docente_universitario ensenante enseñante profesor_de_universidad profesorado profesoral sala_de_profesores cátedra cátedras prof profesor_adjunto profesor_asistente profesor_emérito profesor_extraordinario profesor_ordinario profesor_titular
bn:00021904n	connecticut estado_de_connecticut ct el_estado_constitucional conecticut conetica conécticut conética constitución_política_del_estado nuez_moscada_estado
bn:00015656n	pena_de_muerte ejecución pena_capital castigo_capital condenado_a_muerte ejecuciones ejecutado privación_de_vida abolición_de_la_pena_de_muerte ajusticiamiento condena_a_muerte condenada_a_muerte ejecucion penas_de_muerte sentencia_de_muerte ultima_pena última_pena crimen_capital delito_capital ejecución_judicial ejecución_pública ejecutar
bn:00067181n	informe reporte estudio memoria informes informe_científico informe_escrito
bn:00045800n	idea pensamiento ideas
bn:00021221n	comunicación comunicación_social ciencias_de_la_comunicación comunicacion_social comunicacion receptor comunicaciones el_intercambio_de_informacion el_intercambio_de_información comunicador_social comunicadora_social comunicar la_comunicacion la_comunicación teoria_de_la_comunicacion teoria_de_la_comunicación teoria_de_la_comunicacíon teoría_de_la_comunicacion teoría_de_la_comunicacíon comunicado comunicarse falta_de_comunicación habilidades_de_comunicación
bn:00048657n	jurado jurywoman
bn:00066343n	reacción
bn:00032381n	fotografía foto exposición figura imagen retrato fotografías fotoperiodicidad fotos
bn:00079940n	víctima
bn:00025364n	hija hijo niña hijas
bn:00064806n	fiscal procurador procuradora ministerio_público agente_del_ministerio_publico agente_del_ministerio_público agente_fiscal fiscalia_general fiscalía_general ministerio_fiscal ministerio_publico procurador_fiscal procuraduria_general procuraduría_general promotor_fiscal abogado_de_procesamiento fiscales persecución_oficial procesado
bn:00034552n	veredicto fallo apreciación_de_los_hechos
bn:00021961n	resultado consecuencia efecto desenlace conclusion conclusión
bn:00047077n	interés interes interés_mediático
bn:00017559n	
bn:00030113n	elección elecciones proceso_electoral elección_popular jornada_electoral sistema_electivo electoral comicios_electorales eleccion eleccion_popular elecciones_generales elecciones_libres procesos_electorales democráticamente_electo elegidos política_electoral reelección voto_popular
bn:00015050n	campaña_electoral campaña_política campaña campañas_políticas propaganda_política publicidad_política campañas_electorales campana_electoral campana_politica campana_política campanas_electorales campanas_politicas campanas_políticas campaña_politica campañas_politicas propaganda_politica publicidad_politica campaña_presidencial
bn:00015056n	candidato candidata nominada nominado activista paladín
bn:00070459n	senado_de_los_estados_unidos senado senado_de_estados_unidos senado_de_ee.uu senado_de_los_estados_unidos_de_america senado_de_los_estados_unidos_de_américa senador_de_los_estados_unidos united_states_senate senador_de_estados_unidos u.s._senate ee.uu_el_senador senado_de_ee.uu. senado_de_estado_unidos senado_de_los_ee.uu senado_u_s senador_de_los_ee.uu
bn:00030581n	emoción afecto emocion emocional emociones emocionante emotiva emotivo emociones_humanas
bn:00021278n	crujido compactación
bn:00015008n	cámara cámara_fotográfica camara camara_fotografica cámara_de_fotos camara_de_fotos camara_fotográfica camaras_fotograficas camaras_fotográficas cámara_de_fotografía cámara_óptica cámaras_fotográficas maquina_de_fotos máquina_de_fotos cámaras
bn:00023326n	palacio_de_justicia corte tribunal
bn:00057481n	new_haven ner_haven new_haven,_connecticut new_haven_connecticut nueva_haven nuevo_haven
bn:00047238n	entrevista entrevista_de_television entrevista_de_televisión entrevista_periodistica entrevista_periodística programa_de_entrevistas entrevistas
bn:00048461n	periodista reportero periodistas licenciado_en_comunicación_social reportera_de_noticias reportero_ejecutivo cobertura_mediática periodista_de_la_televisión periodista_de_televisión
bn:00061746n	perspectiva visión vista mirada posición
bn:00017651n	cambio alteración modificación variación
bn:00001267n	adaptación adaptacion adaptación_biológica adaptacion_biologica adaptacion_biológica adaptaciones_biologicas adaptaciones_biológicas adaptaciones
bn:00066933n	regla norma regulación estado
bn:00006759n	deporte atletismo deportes depor evento_deportivo acontecimiento_deportivo actividad_deportiva beneficios_del_deporte_a_la_salud deportista deportistas deportiva deportivo eventos_deportivos
bn:00036292n	fraude defraudador defraudadores defraudar detección_de_fraudes fraude_al_consumidor prevención_del_fraude
bn:00048655n	ley derecho jurisprudencia ciencias_juridicas ciencias_jurídicas juridica juridico jurídica jurídico lenguaje_legal batalla_legal legal legislativa teoría_legal
bn:00033750n	astucia engaño zancadilla un_rápido
bn:00045199n	humor agudeza humorada jocosidad sentido_del_humor divertido hilara hilaro imaginativo ingenio chiste graciosidad ocurrencia réplica
bn:00081224n	voluntad
bn:00030015n	expulsión exclusión eyección expulsion
bn:00046794n	tinta tinta_indeleble tintas
bn:00009654n	comportamiento conducta actuación pauta postura proceder conducción hechos
bn:14866890n	
bn:00015917n	cartulina
bn:00021722n	conferencia liga liga_deportiva alianza campeonato_de_liga conferencia_atlética
bn:00061898n	etapa fase estadio período
bn:00021015n	comité comisión comité_directivo comité_ejecutivo comite comite_directivo comite_ejecutivo comités_ejecutivos comisiones_permanentes comité_parlamentario comité_permanente comités ispolkom
bn:00022845n	
bn:00077924n	entrenador entrenadora amaestrador preparador amaestradora
bn:00046294n	incitación provocación
bn:00019219n	circunstancia contexto marco
bn:00061054n	costumbre hábito práctica patrón
bn:00081622n	mundo
bn:00035704n	fútbol códigos_de_futbol futbol balompié balón balón_de_fútbol codigos_de_futbol codigos_de_fútbol códigos_de_fútbol partido_de_fútbol
bn:00031735n	ethos actitud_vital espíritu genio ἤθος carácter_distintivo
bn:00021395n	componente parte porción componente_de_vector parte_componente suma_de_vectores suma_vectorial vector vector_euclidiano
bn:00005601n	debate discusión argumento programa_de_debates debates debatir argumentación debate_político discutir equipo_debate teoría_de_la_argumentación
bn:00059480n	organización establecimiento constitución formación fundación organizativo organizaciones organizacion organizar organizativa
bn:00004527n	himno himnos anthem hymnus himnos_nacionales autor_de_himnos himno_cristiano himnógrafo hymnist hymnodist
bn:00041354n	nobleza grandeza magnanimousness
bn:00044654n	honor honra codigo_de_honor tribunal_de_honor código_de_honor honorable sistema_de_honor código_del_honor códigos_de_honor derecho_al_honor honorabilidad tribunales_de_honor tribunales_militares_de_honor
bn:00001077n	acto acción acción_humana actividad_humana la_acción_humana la_actividad_humana praxeología
bn:00028614n	
bn:00044269n	historia
bn:00076339n	técnico
bn:00078798n	tipo
bn:00064077n	precepto norma_jurídica principio ordenanza norma norma_juridica norma_legal normas_juridicas normas_jurídicas norma_de_derecho ordenanza_civil ordenanzas ordenanzas_civiles preceptos
bn:00059436n	ordenamiento reglamento reglamentos regulación regulación_gubernamental
bn:00047690n	asunto cuestión materia tema
bn:00025080n	daño perjuicio deterioro hecho_dañoso
bn:00033960n	espíritu sentimiento tono
bn:00001561n	ventaja
bn:00047017n	integridad integridad_personal
bn:00006383n	aspecto matiz punto
bn:00050275n	transgresor trasgresor ley_delincuente
bn:00076925n	cosa característica
bn:00022078n	fraude_constructivo fraude_de_ley
bn:00046721n	delito_menor infracción contravención delito falta violación ofensa mala_conducta delincuente_de_poca_monta delitos_menores litigios_sobre_patentes
bn:00061325n	castigo pena penalización penable penada penadas penado penados derecho_penal_ejecutivo castigar sanción_penal sistema_penal
bn:00021348n	queja protesta querella
bn:00009905n	beneficio provecho ventaja
bn:00069579n	estrategia plan_de_acción plan táctica proyecto régimen esquema estrategias
bn:00020039n	gremio club cofradía colegio liga logia guilda club_social asociación clube fraternidad lodge sociedad germanía asociacion_gremial corporación sistema_gremial asociación_gremial gremios corporacion corporacion_de_artes_y_oficios corporacion_de_oficios corporacion_medieval corporación_de_artes_y_oficios corporación_de_oficios corporación_medieval gremio_de_artes_y_oficios gremio_de_artesanos gremi gremialismo_medieval club_privado clubes dorar gremio_artesanal gremio_mercantil gremios_artesanales
bn:00017615n	campeonato campeonatos
bn:00046391n	indefinición indeterminación indefinity
bn:00003125n	cambio alteración modificación evolución variación
bn:00000674n	
bn:00024727n	ciclo
bn:00075455n	suspensión suspensión_temporal suspension eliminación_temporal
bn:00000772n	acumulación accruement devengo
bn:00051035n	lugar posición puesto sitio
bn:00024724n	ciclo
bn:00006559n	suposición asunción supuesto
bn:00005092n	aplicación aplicación_práctica
bn:00012212n	frontera delimitación límite frontera_nacional delimitació línia_fronterera línia_limítrof mete lindero divisiones_geograficas divisiones_geográficas fronterizo linea_divisoria línea_divisoria frontera_internacional paso_fronterizo puesto_de_control_fronterizo delimitación_de_distritos_electorales fronteras impartir límite_de_línea transfronteriza
bn:00048587n	coyuntura motivo
bn:00005599n	controversia discusión bronca pelea polémica riña disputa lid pendencia quimera controversial controversias desavenencia controvertido argumentando argumento argumentos disceptation lucha
bn:00032661n	factor component
bn:00078024n	transmisión transmitir
bn:00027363n	directiva directriz
bn:00013701n	microbio germen microbios
bn:00063739n	posibilidad possibleness
bn:00027530n	descubrimiento hallazgo
bn:00007854n	bacteria bacterias bacteriana bacteriano bacterii bacterium esquizomicetes eubacteri eubacteria vacterias
bn:00005917n	arsénico número_atómico_33 arsenico as anhídrido_arsenioso como
bn:00035649n	nutriente nutrimento alimento comida alimentos sustento sustancia_nutritiva nutrientes macronutrientes
bn:00035911n	forma cepa var. variante cepa_bacteriana var
bn:00047356n	investigador investigadora investigación_trabajador
bn:00051054n	vida biota caracteristicas_de_la_materia_viva características_de_la_materia_viva funciones_contractiles la_vida vidas
bn:00018105n	elemento_químico elemento elemento_quimico elementos_químicos elementos_quimicos grupo_de_elementos_químicos elemento_radiactivo
bn:00009677n	ser organismo ser_vivo organismos criatura organismo_vivo organismos_vivos seres_vivos clasificacion_del_ser_vivo flora_y_la_fauna seres
bn:00015410n	capacidad
bn:00006845n	fósforo número_atómico_15 p fosforo fosforio
bn:00029770n	edición
bn:00048453n	revista dietario journal
bn:00006890n	carbono número_atómico_6 número_atòmico_6 carbonaceo carbonoso átomo_de_carbono c atomo_de_carbono carbonos
bn:00006823n	hidrógeno número_atómico_1 hidrogeno elemento_1 elemento_uno h primer_elemento protio hydrogenium dihidrógeno gas_hidrógeno hidrógeno_molecular molécula_de_hidrógeno molécula_hidrógeno
bn:00006901n	nitrógeno número_atómico_7 azoe nitrogeno ázoe az n nitrogenado dinitrógeno gas_nitrógeno nitrogenados
bn:00006912n	oxígeno oxigeno número_atómico_8 o elemento_8 elemento_ocho octavo_elemento átomo_de_oxígeno formula_quimica_del_oxigeno oxigeno_atomico oxigeno_atómico oxígeno_atomico oxígeno_atómico oxígeno_molecular
bn:00006846n	azufre número_atómico_16 s sulfuroso sulfuro acrebite alcrebite alcribite azufre_nativo sulfúrico
bn:00014403n	california alta_california estado_de_california el_estado_dorado californiano ca calif. california,_estados_unidos ca. californiana californianos califórnia golden_state
bn:00012940n	descubrimiento hallazgo
bn:00045243n	búsqueda busca cacheo
bn:00007985n	campo_de_estudio campo disciplina ramo tema área area_de_jurisdicción estudio terreno ámbito área_de_estudio área_temática cátedra materia campo_académico campo_temático disciplina_académica
bn:00004352n	proclamación anuncio pregón proclama promulgación proclamacion proclamaciones proclamar proclamación_real proclamas
bn:00021869n	conjetura especulación suposición teoría conjetura_matematica conjetura_matemática conjeturas conjetural
bn:00024712n	internet ciberespacio red red_de_computadoras red_de_ordenadores red_informática ciberinfinito el_internet internet_global acceso_a_internet cyberespacio inet interne internerd interné red_de_redes red_mundial
bn:00027529n	descubrimiento hallazgo descubrimientos descubrir descubridor descubridores avistamientos descubrimientos_científicos
bn:00031074n	entorno medio
bn:00010518n	bioquímica bioquímico química_biológica bioquímicos bioanálisis biomolecular bioquimica bioquimico grado_en_bioquimica grado_en_bioquímica química_fisiológica
bn:00070696n	conjunto juego set
bn:00059768n	espacio_exterior espacio espacio_vacío espacial espacio_sideral espacio_sidéreo espacio_vacio expacio_vacio expacio_vacío espacio_cislunar medio_intergaláctico
bn:00069670n	ciencia ciencias disciplina_científica conocimiento_científico saber_científico cientifica la_ciencia ciencia_convencional ciencia_empírica
bn:00059087n	open_university the_open_university universidad_abierta_del_reino_unido universidad_abierta
bn:00013173n	reino_unido reino_unido_de_gran_bretaña_e_irlanda_del_norte gran_bretaña reino_unido_de_la_gran_bretaña_e_irlanda_del_norte reino united_kingdom uk u.k. gb gbr inglaterra britanica britanicos británica británicos cabo_dungeness el_reino_unido futbol_de_inglaterra fútbol_de_inglaterra gran+bretana gran+bretaña gran_bretana_e_irlanda_del_norte gran_bretaña_e_irlanda_del_norte inglesas nacionalidad_britanica nacionalidad_británica r._u. r.u. r_u r_u. reino_unido_de_bretaña reino_unido_de_gran_bretana_e_irlanda_del_norte reino_unido_de_la_gran_bretana reino_unido_de_la_gran_bretana_e_irlanda_del_norte reino_unido_de_la_gran_bretaña reinounidense ru rudgbeidn rugbin u_k u_k. united_kingdom_of_great_britain_and_northern_ireland
bn:00067280n	investigación investigación_científica investigadores investigacion investigacion_cientifica investigacion_científica investigaciones investigación_cientifica investigadora investigar producción_científica investigación_académica investigación_original métodos_de_investigación
bn:00062309n	obra trabajo pieza_de_trabajo
bn:00061666n	sustitución permutación substitución cambio
bn:00074759n	estructura arquitectura conformación estructuración
bn:00056879n	nasa administración_nacional_de_aeronáutica_y_del_espacio administración_nacional_de_aeronáutica_y_el_espacio agencia_espacial_norteamericana anae administración_nacional_de_aeronáutica_y_espacio agencia_espacial_americana agencia_espacial_de_ee.uu. agencia_espacial_estadounidense administracion_nacional_de_aeronautica_y_del_espacio administracion_nacional_de_aeronautica_y_el_espacio administracion_nacional_de_aeronáutica_y_del_espacio administracion_nacional_de_aeronáutica_y_el_espacio administración_nacional_de_aeronautica_y_del_espacio administración_nacional_de_aeronautica_y_el_espacio n.a.s.a. n_a.s.a. n_a_s.a. n_a_s_a n_a_s_a. nasa.gov nasa_gov national_aeronautics_and_space_administration paeces pates
bn:00006642n	astrobiología exobiología xenobiología bioastronomía astrobiologia exobiologia exobiologo exobiólogo vida_en_otros_planetas xenobiologia astrobiólogo espacio_biología
bn:00046952n	instituto institución instituto_universitario institutos
bn:00074790n	estudio encuesta investigación
bn:00018096n	sustancia_química químico producto_químico sustancia sustancia_pura substancia sustancia_quimica sustancias_quimicas sustancias_químicas química químico_sustancia químicos
bn:00009655n	comportamiento conducta mala_conducta
bn:00042951n	adversidad infortunio trago trineo_áspero
bn:00052571n	maquinaria máquina machinery máquinas maquina
bn:00021538n	concentración concentracion_molar concentración_molar concentracion concentrado molal molalidad concentraciones concentración_analítica
bn:00051067n	forma_de_vida vida_de_la_forma
bn:00062777n	planeta
bn:00055813n	satélite_natural luna satélite lunas satelite_natural satélites_naturales planeta_secundario satelites_naturales
bn:00006525n	profesor_asistente agregado profesor_agregado profesor_ayudante profesora_asistente profesor_adjunto profesor_distinguido profesor_investigación
bn:00054734n	microbiología microbiologia análisis_microbiológico bacteriologia bacteriologo bacteriólogo microbiologa microbiologico microbiologo microbiológica microbiológico microbióloga microbiólogo microbiológicos
bn:00001965n	manera medio modo camino forma agencia
